"shift_id","day_of_week","start_time","end_time"
"sh001","Monday","10:30:00","14:00:00"
"sh002","Monday","18:30:00","23:00:00"
"sh003","Tuesday","10:30:00","14:00:00"
"sh004","Tuesday","18:30:00","23:00:00"
"sh005","Wednesday","10:30:00","14:00:00"
"sh006","Wednesday","18:30:00","23:00:00"
"sh007","Thursday","10:30:00","14:00:00"
"sh008","Thursday","18:30:00","23:00:00"
"sh009","Friday","10:30:00","14:00:00"
"sh010","Friday","18:30:00","23:00:00"
"sh011","Saturday","10:30:00","14:00:00"
"sh012","Saturday","18:30:00","23:00:00"
"sh013","Sunday","10:30:00","14:00:00"
"sh014","Sunday","18:30:00","23:00:00"
